"COMMON_NAME","SPECIES_ITIS","NESPP3","STAT_AREA","AREA_TYPE","AREA_NAME","listed"
"SQUID, SHORT-FIN","082521","802",520,"stock","UNIT",1
"TILEFISH, BLUELINE","168543","444",520,"stock","NORTHERN COMPONENT",1
"TILEFISH, GOLDEN","168546","446",520,"stock","UNIT",1
"WITCH FLD","172873","122",520,"stock","UNIT",1
"YELLOWTAIL FLD","172909","123",520,"stock","GB",1
"ALEWIFE","161706","001",521,"stock","UNIT",1
"AM SHAD","161702","347",521,"stock","UNIT",1
"AMERICAN PLAICE","172877","124",521,"stock","UNIT",1
"BLACK SEA BASS","167687","335",521,"stock","UNIT",1
"BLUEFISH","168559","023",521,"stock","UNIT",1
"BUTTERFISH","172567","051",521,"stock","UNIT",1
"CHUB MACKEREL","172413","215",521,"stock","UNIT",1
"CLAM, SURF","080944","769",521,"stock","UNIT",1
"COD","164712","081",521,"stock","GB",1
"DOGFISH, SPINY","160617","352",521,"stock","UNIT",1
"FLUKE","172735","121",521,"stock","UNIT",1
"HADDOCK","164744","147",521,"stock","GB",1
"HAKE, WHITE","164732","153",521,"stock","UNIT",1
"HALIBUT","172933","159",521,"stock","UNIT",1
"HERRING, ATLANTIC","161722","168",521,"stock","UNIT",1
"MACKEREL, ATLANTIC","172414","212",521,"stock","UNIT",1
"MONKFISH","164499","012",521,"stock","NORTHERN",1
"NBR spp (300+)",NA,NA,521,"stock","UNIT",1
"OCEAN POUT","630979","250",521,"stock","UNIT",1
"POLLOCK","164727","269",521,"stock","UNIT",1
"QUAHOG, HARD SHELL CLAM","081496","748",521,"stock","UNIT",1
"QUAHOG, OCEAN (BLACK CLAM)","081343","754",521,"stock","UNIT",1
"RED CRAB","620992","710",521,"stock","UNIT",1
"RED HAKE","164730","152",521,"stock","NORTHERN",1
"REDFISH","166774","240",521,"stock","UNIT",1
"SCALLOP, SEA","079718","800",521,"stock","UNIT",1
"SCUP","169182","329",521,"stock","UNIT",1
"SILVER HAKE","164791","509",521,"stock","NORTHERN",1
"SKATE, BARNDOOR","564139","368",521,"stock","UNIT",1
"SKATE, CLEARNOSE","160855","372",521,"stock","UNIT",1
"SKATE, LITTLE","564130","366",521,"stock","UNIT",1
"SKATE, ROSETTE","564136","364",521,"stock","UNIT",1
"SKATE, SMOOTH","564151","369",521,"stock","UNIT",1
"SKATE, THORNY","564149","370",521,"stock","UNIT",1
"SKATE, WINTER","564145","367",521,"stock","UNIT",1
"SQUID, ATL LONG-FIN","082372","801",521,"stock","UNIT",1
