SPECIES_ITIS,AREA_NAME,COMMON_NAME,CAMS_GEAR_GROUP,Discard_Mortality_Ratio
160855,MA,"SKATE, CLEARNOSE",50,0.5
160855,SNE,"SKATE, CLEARNOSE",50,0.5
160855,GBK,"SKATE, CLEARNOSE",58,0.5
160855,GOM,"SKATE, CLEARNOSE",58,0.5
160855,MA,"SKATE, CLEARNOSE",58,0.5
160855,SNE,"SKATE, CLEARNOSE",58,0.5
160855,GBK,"SKATE, CLEARNOSE",100,0.5
160855,GOM,"SKATE, CLEARNOSE",100,0.5
160855,MA,"SKATE, CLEARNOSE",100,0.5
160855,SNE,"SKATE, CLEARNOSE",100,0.5
160855,GBK,"SKATE, CLEARNOSE",132,0.5
160855,GOM,"SKATE, CLEARNOSE",132,0.5
160855,MA,"SKATE, CLEARNOSE",132,0.5
160855,SNE,"SKATE, CLEARNOSE",132,0.5
564130,GBK,"SKATE, LITTLE",10,0.5
564130,GOM,"SKATE, LITTLE",10,0.5
564130,MA,"SKATE, LITTLE",10,0.5
564130,SNE,"SKATE, LITTLE",10,0.5
564130,GBK,"SKATE, LITTLE",50,0.22
564130,GOM,"SKATE, LITTLE",50,0.22
564130,MA,"SKATE, LITTLE",50,0.22
564130,SNE,"SKATE, LITTLE",50,0.22
564130,GBK,"SKATE, LITTLE",58,0.22
564130,GOM,"SKATE, LITTLE",58,0.22
564130,MA,"SKATE, LITTLE",58,0.22
564130,SNE,"SKATE, LITTLE",58,0.22
564130,GBK,"SKATE, LITTLE",100,0.5
564130,GOM,"SKATE, LITTLE",100,0.5
564130,MA,"SKATE, LITTLE",100,0.5
564130,SNE,"SKATE, LITTLE",100,0.5
564130,GBK,"SKATE, LITTLE",132,0.48
564130,GOM,"SKATE, LITTLE",132,0.48
564130,MA,"SKATE, LITTLE",132,0.48
564130,SNE,"SKATE, LITTLE",132,0.48
564136,GBK,"SKATE, ROSETTE",10,0.5
564136,GOM,"SKATE, ROSETTE",10,0.5
564136,MA,"SKATE, ROSETTE",10,0.5
564136,SNE,"SKATE, ROSETTE",10,0.5
564136,GBK,"SKATE, ROSETTE",50,0.5
564136,GOM,"SKATE, ROSETTE",50,0.5
564136,MA,"SKATE, ROSETTE",50,0.5
564136,SNE,"SKATE, ROSETTE",50,0.5
564136,GBK,"SKATE, ROSETTE",58,0.5
564136,GOM,"SKATE, ROSETTE",58,0.5
564136,MA,"SKATE, ROSETTE",58,0.5
564136,SNE,"SKATE, ROSETTE",58,0.5
564136,GBK,"SKATE, ROSETTE",100,0.5
564136,GOM,"SKATE, ROSETTE",100,0.5
564136,MA,"SKATE, ROSETTE",100,0.5
564136,SNE,"SKATE, ROSETTE",100,0.5
564136,GBK,"SKATE, ROSETTE",132,0.5
564136,GOM,"SKATE, ROSETTE",132,0.5
564136,MA,"SKATE, ROSETTE",132,0.5
564136,SNE,"SKATE, ROSETTE",132,0.5
564151,GBK,"SKATE, SMOOTH",10,0.5
564151,GOM,"SKATE, SMOOTH",10,0.5
564151,MA,"SKATE, SMOOTH",10,0.5
564151,SNE,"SKATE, SMOOTH",10,0.5
564151,GBK,"SKATE, SMOOTH",50,0.6
564151,GOM,"SKATE, SMOOTH",50,0.6
564151,MA,"SKATE, SMOOTH",50,0.6
564151,SNE,"SKATE, SMOOTH",50,0.6
564151,GBK,"SKATE, SMOOTH",58,0.6
564151,GOM,"SKATE, SMOOTH",58,0.6
564151,MA,"SKATE, SMOOTH",58,0.6
564151,SNE,"SKATE, SMOOTH",58,0.6
564151,GBK,"SKATE, SMOOTH",100,0.5
564151,GOM,"SKATE, SMOOTH",100,0.5
564151,MA,"SKATE, SMOOTH",100,0.5
564151,SNE,"SKATE, SMOOTH",100,0.5
564151,GBK,"SKATE, SMOOTH",132,0.5
564151,GOM,"SKATE, SMOOTH",132,0.5
564151,MA,"SKATE, SMOOTH",132,0.5
564151,SNE,"SKATE, SMOOTH",132,0.5
564149,GBK,"SKATE, THORNY",10,0.5
564149,GOM,"SKATE, THORNY",10,0.5
564149,MA,"SKATE, THORNY",10,0.5
